Date,A.N,ABBV.N,ABT.N,ACN.N,ADM.N,AEE.N,AES.N,AFL.N,AIG.N,AIZ.N,AJG.N,ALB.N,ALL.N,ALLE.N,AME.N,AMP.N,AMT.N,AON.N,AOS.N,APD.N,APH.N,APTV.N,ARE.N,ATO.N,AVB.N,AVY.N,AWK.N,AXP.N,AZO.N,BA.N,BAC.N,BALL.N,BAX.N,BBWI.N,BBY.N,BDX.N,BEN.N,BF.B.N,BG.N,BIO.N,BK.N,BLK.N,BMY.N,BR.N,BRK.B.N,BRO.N,BSX.N,BWA.N,BX.N,BXP.N,C.N,CAG.N,CAH.N,CAT.N,CB.N,CBRE.N,CCI.N,CCL.N,CE.N,CF.N,CHD.N,CL.N,CLX.N,CMA.N,CMG.N,CMI.N,CMS.N,CNC.N,CNP.N,COF.N,COP.N,COR.N,CPAY.N,CPB.N,CPT.N,CRL.N,CRM.N,CTRA.N,CVS.N,CVX.N,D.N,DAL.N,DE.N,DFS.N,DG.N,DGX.N,DHI.N,DHR.N,DIS.N,DLR.N,DOC.N,DOV.N,DPZ.N,DRI.N,DTE.N,DUK.N,DVA.N,DVN.N,ECL.N,ED.N,EFX.N,EG.N,EIX.N,EL.N,ELV.N,EMN.N,EMR.N,EOG.N,EPAM.N,EQR.N,EQT.N,ES.N,ESS.N,ETN.N,ETR.N,EW.N,EXR.N,F.N,FCX.N,FDS.N,FDX.N,FE.N,FICO.N,FIS.N,FMC.N,FRT.N,GD.N,GIS.N,GL.N,GLW.N,GM.N,GNRC.N,GPC.N,GPN.N,GS.N,GWW.N,HAL.N,HCA.N,HD.N,HES.N,HIG.N,HII.N,HLT.N,HPQ.N,HRL.N,HSY.N,HUM.N,HWM.N,IBM.N,ICE.N,IEX.N,IFF.N,IP.N,IPG.N,IQV.N,IRM.N,IT.N,ITW.N,IVZ.N,J.N,JBL.N,JNJ.N,JNPR.N,JPM.N,K.N,KEY.N,KIM.N,KMB.N,KMI.N,KMX.N,KO.N,KR.N,L.N,LDOS.N,LEN.N,LH.N,LHX.N,LLY.N,LMT.N,LOW.N,LUV.N,LVS.N,LYB.N,LYV.N,MA.N,MAA.N,MAS.N,MCD.N,MCK.N,MCO.N,MET.N,MGM.N,MHK.N,MKC.N,MLM.N,MMC.N,MMM.N,MO.N,MOH.N,MOS.N,MPC.N,MRK.N,MRO.N,MS.N,MSCI.N,MSI.N,MTB.N,MTD.N,NEE.N,NEM.N,NI.N,NKE.N,NOC.N,NOW.N,NRG.N,NSC.N,NUE.N,NVR.N,O.N,OKE.N,OMC.N,ORCL.N,OXY.N,PCG.N,PEG.N,PFE.N,PG.N,PGR.N,PH.N,PHM.N,PKG.N,PLD.N,PM.N,PNC.N,PNR.N,PNW.N,PPG.N,PPL.N,PRU.N,PSA.N,PSX.N,PWR.N,PXD.N,RCL.N,RF.N,RHI.N,RJF.N,RL.N,RMD.N,ROK.N,ROL.N,RSG.N,RTX.N,RVTY.N,SCHW.N,SHW.N,SJM.N,SLB.N,SNA.N,SO.N,SPG.N,SPGI.N,SRE.N,STT.N,STZ.N,SWK.N,SYK.N,SYY.N,T.N,TAP.N,TDG.N,TDY.N,TEL.N,TFC.N,TFX.N,TGT.N,TJX.N,TMO.N,TPR.N,TRGP.N,TRV.N,TSN.N,TT.N,TXT.N,TYL.N,UDR.N,UHS.N,UNH.N,UNP.N,UPS.N,URI.N,USB.N,V.N,VLO.N,VMC.N,VTR.N,VZ.N,WAB.N,WAT.N,WEC.N,WELL.N,WFC.N,WM.N,WMB.N,WMT.N,WRB.N,WST.N,WY.N,XOM.N,XYL.N,YUM.N,ZBH.N,ZTS.N,AAL.O,AAPL.O,ACGL.O,ADBE.O,ADI.O,ADP.O,ADSK.O,AKAM.O,ALGN.O,AMAT.O,AMGN.O,AMZN.O,ANSS.O,AXON.O,BIIB.O,BKNG.O,CDNS.O,CDW.O,CHRW.O,CHTR.O,CINF.O,CMCSA.O,CME.O,COST.O,CPRT.O,CSCO.O,CSGP.O,CTAS.O,CTSH.O,DLTR.O,DXCM.O,EA.O,EBAY.O,ENPH.O,EQIX.O,EXPE.O,FANG.O,FAST.O,FFIV.O,FITB.O,FSLR.O,FTNT.O,GEN.O,GILD.O,GOOGL.O,HAS.O,HBAN.O,HOLX.O,HSIC.O,IDXX.O,ILMN.O,INCY.O,INTC.O,INTU.O,ISRG.O,JBHT.O,JKHY.O,KLAC.O,LKQ.O,LRCX.O,LULU.O,MAR.O,MCHP.O,MDLZ.O,META.O,MKTX.O,MNST.O,MPWR.O,MSFT.O,MU.O,NDAQ.O,NDSN.O,NFLX.O,NTAP.O,NTRS.O,NVDA.O,NWS.O,NWSA.O,NXPI.O,ODFL.O,ON.O,ORLY.O,PAYX.O,PCAR.O,PODD.O,POOL.O,PTC.O,QCOM.O,REGN.O,ROST.O,SBAC.O,SBUX.O,SNPS.O,STLD.O,STX.O,SWKS.O,TECH.O,TRMB.O,TROW.O,TSCO.O,TSLA.O,TTWO.O,TXN.O,ULTA.O,VRSK.O,VRSN.O,VRTX.O,WDC.O,WYNN.O,ZBRA.O
2019-12-31,2.40391E-17,1.00255E-13,0,0,0,0,0,0,0,0,0,0,0,5.00516E-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1903E-13,0,0,0,0,5.55958E-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.30626E-17,0,0,0,0,0,0,0,0,0,0,5.05515E-16,0,0,0,0,0,0,0,0,0,0,0,0,0,1.02191E-16,0,0,0,6.26271E-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.10889E-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.44682E-16,1.49466E-13,0,0,0,0,0,0,0,0,0,0,0,0,8.70346E-17,0,0,5.75367E-17,0,0,0,0,0,0,0,2.96077E-13,0,0,0,0,0,6.82745E-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.75767E-16,0,0,0,0,0,0,0,1.76285E-13,0,0,0,0,0,0,0,0,0,0,8.01296E-14,1.3911E-13,0,0,0,0,0,0,0,0,0,0,0,0,0,5.76139E-14,0,0,0,1.70166E-13,0,0,0,0,0,0,0,3.65192E-16,0,0,0,0,0,0,0,0,6.79023E-17,0,0,0,0,0,3.14013E-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.22059E-15,0,0,0,0,0,0,3.34178E-13,1.04278E-13,1.15693E-15,0,1.50276E-16,0,2.41381E-13,0,0,9.68155E-17,0,3.25615E-16,0,0,0,0,0,0,0,0,0,0,3.1762E-13,0,0,0,0,0,0,0,0,0,0,1.04014E-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.75401E-14,1.65149E-16,1,1.12393E-13,0,0,0,0,0,0,1.07284E-14,0,0,0,0,0,0,0,1.48473E-16,0,0,1.53968E-17,0,0,0,0,0,4.58329E-13,0,0,8.12197E-17,1.59751E-13,0,0,0,0,0,1.42321E-14,4.30694E-16,0,0,0,0,4.54354E-14,0,0,0,0,0,3.60074E-14,0,0,5.39526E-17
2020-01-02,3.98212E-20,0,0,0,0,0,0,0,0,0,0,0,0,1.75114E-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.11588E-19,0,0,0,0,0,0,0,0,0,0,3.55115E-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.10078E-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.00285E-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.84519E-19,0,0,0,0,0,0,0,0,0,0,0,1.63824E-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17376E-18,0,0,0,0,0,0,0,0,6.18207E-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.21431E-17,0,0,0,0,0,0,6.7431E-20,0.250672267,0,0,0,0,8.9323E-19,0,0,1.61457E-20,0,0,0,0,0,0,0,0,0,0,0,0,1.68068E-19,0,0,0,0,0,0,0,0,0,0,4.07398E-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.226258606,2.45998E-19,0.370574318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.152494809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.14301E-19,6.47176E-20,0,0,0,0,0,0,0,0,0,0,1.4836E-19,0,0,0
2020-01-03,0,8.33831E-19,0,0,0,0,0,0,0,0,0,0,0,8.78715E-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.89916E-19,0,0,0,0,1.57627E-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.32382E-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.3814E-19,0,0,0,0,0,0,0,0,0,0,0,0,0,1.94687E-18,0,0,7.68282E-19,0,0,0,0,0,0,0,0,0,0,0,0,0,2.81766E-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00507E-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.10563E-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.37894E-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.04213E-18,0.311772493,6.30017E-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023125666,0,0.591958023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.073143819,0,0,0,0,0,0,0,0,8.01421E-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.37638E-19
2020-01-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.10276E-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.71881E-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.075661362,0,0,0,0,0,0,0,0.27883283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.90941E-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.243546709,0,0.388875789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013083311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.19114E-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.97083E-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.019E-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.62893E-21,3.04323E-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.58479E-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005511556,0,0,0,0,0,0,0,0,0,0,0.023570543,6.24904E-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.23829E-19,0,0,0,0,0,0,0,2.57248E-19,0,0,0,0,0,0,0,0,0.028107406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22697885,0,0,0,0,0,0,7.2518E-19,0.140614371,1.09092E-19,0,0.157135966,0,0,0,0,0.052175219,0,5.41175E-20,0,0,0,0,0,0,0,0,0,0,2.2982E-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.176819091,8.91519E-20,0.166711853,0,0,0,0,0,0,0,0.02196404,0,0,0,0,0,0,0,0,0,0,3.30031E-18,0,0,0,0,0,0.000411104,0,0,1.00284E-19,1.29196E-19,0,0,0,0,0,3.39874E-19,1.15638E-18,0,0,0,0,5.67707E-19,0,0,0,0,0,2.38164E-21,0,0,4.26788E-19
2020-01-08,1.68373E-19,0,0,0,0,0,0,0,0,0,0,0,0,7.46099E-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.3193E-20,0,0,0,0,6.16733E-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.84151E-20,0,0,0,0,0,0,0,0,0,0,1.70175E-19,0,0,0,0,0,0,0,0,0,0,0,0,0,3.01256E-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.12047E-19,0,0,9.33577E-21,0,0,0,0,0,0,0,1.41574E-19,0,0,0,0,0,4.30918E-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.38757E-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.31604E-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26684683,0,0,0,0,0,0,0,0.190646779,2.86853E-19,0,0.042683247,0,3.28481E-20,0,0,3.53101E-18,0,0,0,0,0,0,0,0,0,0,0,0,2.19447E-19,0,0,0,0,0,0,0,0,0,0,7.86315E-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.218351433,0,0.280953115,0,0,0,0,0,0,0,0.000518596,0,0,0,0,0,0,0,2.08512E-18,0,0,0,0,0,0,0,0,0,0,0,0,1.2399E-19,0,0,0,0,0,1.00141E-19,0,0,0,0,0,1.28592E-19,0,0,0,0,0,4.30122E-20,0,0,0
2020-01-09,0,0,0,0,0,0,0,0,0,0,0,0,0,5.30345E-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.01973E-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.28169E-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.96638E-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.24484E-19,0,0,0,0,0,0,0,0,0,0,7.81774E-20,1.13354E-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.13744E-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7462E-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19975913,0,0,0,0,0,0,0,0.186609599,6.21978E-20,0,0.124384112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.60209E-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.232988958,1.75884E-19,0.256258201,0,0,0,0,0,0,0,7.35823E-19,0,0,0,0,0,0,0,0,0,0,1.79826E-18,0,0,0,0,0,3.23832E-19,0,0,8.2745E-20,0,0,0,0,0,0,7.82804E-20,2.16384E-18,0,0,0,0,0,0,0,0,0,0,3.28922E-20,0,0,1.20492E-19
2020-01-10,0,1.61553E-19,0,0,0,0,0,0,0,0,0,0,0,1.2913E-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.21368E-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.90222E-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.08669E-20,1.93838E-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.48227E-20,0,0,0,0,0,0,0,1.74854E-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.84341E-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26911E-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.99805E-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.153565494,0,0,0,0,0,0,2.00279E-19,0.233337634,2.01273E-19,0,0.091376671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.99701E-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.232699696,6.23026E-19,0.289020505,2.61156E-20,0,0,0,0,0,0,9.7446E-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.89948E-21,0,0,0,0,0,0,1.59441E-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.03675E-20
2020-01-13,7.12927E-19,3.02292E-19,0,0,0,0,0,0,0,0,0,0,0,3.71074E-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.13708E-19,0,0,0,0,4.7815E-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.58334E-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.85166E-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2436E-19,4.76928E-19,0,0,0,0,0,0,0,0,0,0,0,0,1.16872E-18,0,0,4.60181E-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.80275E-19,0,0,0,0,0,0,0,2.46874E-19,0,0,0,0,0,0,0,0,0,0,6.87218E-19,4.20016E-20,0,0,0,0,0,0,0,0,0,0,0,0,0,2.70191E-19,0,0,0,1.18193E-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.04849E-18,0,0,0,0,0,3.74568E-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.207399744,0,0,0,0,0,0,7.76546E-19,0.205684038,0,0,0.044822398,0,0,0,0,1.04484E-18,0,1.121E-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.71349E-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.247222863,2.83596E-19,0.294870957,5.4572E-19,0,0,0,0,0,0,1.36099E-18,0,0,0,0,0,0,0,1.02346E-17,0,0,1.01094E-18,0,0,0,0,0,3.15686E-19,0,0,2.28459E-19,4.91849E-20,0,0,0,0,0,5.95513E-19,0,0,0,0,0,3.13804E-18,0,0,0,0,0,1.50931E-19,0,0,5.11325E-19
2020-01-14,0,2.95009E-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.74219E-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.37232E-19,0,0,0,0,0,0,0,0,0,0,1.16388E-18,0,0,0,0,0,0,0,0,0,0,0,0,0,4.64305E-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.37726E-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.13226E-18,0,0,0,0,0,1.05774E-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.12921E-19,0,0,0,0,0,0,0,0,0,0,0,1.26044E-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03771637,0,0,0,0,0,0,0,0.282358281,3.44897E-19,0,0,0,2.72487E-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.19773E-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.232485634,0,0.447439714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.38778E-17,0,0,0,0,0,0,0,0,0,0,0,0,3.81438E-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.86174E-21,0,0,0
